_id,version,id,timestamp,stored,actor,verb,object,result,authority,context
6970010d8c4188001ddc0dd3,1.0.0,3068da61-09c0-4e9d-983d-6b50525d2d3e,2026-01-20T22:26:21.990Z,2026-01-20T22:26:21.990Z,"{""objectType"":""Agent"",""name"":""學生-759FA71B4F170FF8707A289195081479"",""account"":{""name"":""759FA71B4F170FF8707A289195081479"",""homePage"":""https://vrspace.local""}}","{""id"":""http://adlnet.gov/expapi/verbs/enter_sections"",""display"":{""zh-TW"":""進入"",""en-US"":""Enter""}}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""哥倫布"",""en-US"":""Columbus""}},""id"":""https://example.org/vr/activity/columbus""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/pc"":""pc"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_node2_s01_ob01"":""檢查休息艙"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_node2_s01_ob02"":""檢查廁所"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_node2_s01_ob03"":""檢查穹頂艙"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_node2_s01_ob04"":""檢查盥洗用品""}}"
6970010c8c4188001ddc0dd2,1.0.0,d70a7a31-69b6-4849-b00b-a8dba92764e3,2026-01-20T22:26:20.083Z,2026-01-20T22:26:20.083Z,"{""objectType"":""Agent"",""name"":""學生-759FA71B4F170FF8707A289195081479"",""account"":{""name"":""759FA71B4F170FF8707A289195081479"",""homePage"":""https://vrspace.local""}}","{""id"":""http://adlnet.gov/expapi/verbs/enter_sections"",""display"":{""zh-TW"":""進入"",""en-US"":""Enter""}}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""節點艙2"",""en-US"":""Node2""}},""id"":""https://example.org/vr/activity/node2""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/pc"":""pc"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_node2_s01_ob01"":""檢查休息艙"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_node2_s01_ob02"":""檢查廁所"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_node2_s01_ob03"":""檢查穹頂艙"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_node2_s01_ob04"":""檢查盥洗用品""}}"
6968ed548c4188001ddc0dd1,1.0.0,0f601789-2edb-4de0-9d56-a8079f4bf56f,2026-01-15T13:36:20.322Z,2026-01-15T13:36:20.322Z,"{""objectType"":""Agent"",""name"":""學生-1932CDAD4DED500C2BD6DAADC8D7E34F"",""account"":{""name"":""1932CDAD4DED500C2BD6DAADC8D7E34F"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""提交了答案"",""en-US"":""submitted answer""},""id"":""http://id.tincanapi.com/verb/submitted""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""任務 2 問題 1"",""en-US"":""Mission 2 Question 1""},""type"":""http://adlnet.gov/expapi/activities/cmi.interaction"",""interactionType"":""numeric""},""id"":""https://nccu-rb521.nccu.edu.tw/vr/quiz/mission2/q1""}","{""response"":""10&5"",""completion"":true}","{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/pc"":""pc"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms2_s7_ob01"":""維修獵風者號""}}"
6968ed508c4188001ddc0dd0,1.0.0,5c160155-24f4-4b57-b577-a32776fa55b3,2026-01-15T13:36:16.833Z,2026-01-15T13:36:16.833Z,"{""objectType"":""Agent"",""name"":""學生-1932CDAD4DED500C2BD6DAADC8D7E34F"",""account"":{""name"":""1932CDAD4DED500C2BD6DAADC8D7E34F"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""提交了答案"",""en-US"":""submitted answer""},""id"":""http://id.tincanapi.com/verb/submitted""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""任務 2 問題 1"",""en-US"":""Mission 2 Question 1""},""type"":""http://adlnet.gov/expapi/activities/cmi.interaction"",""interactionType"":""numeric""},""id"":""https://nccu-rb521.nccu.edu.tw/vr/quiz/mission2/q1""}","{""response"":""10&"",""completion"":false}","{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/pc"":""pc"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms2_s7_ob01"":""維修獵風者號""}}"
6968ec7d8c4188001ddc0dcf,1.0.0,7460c385-556c-4be3-bdc5-af197f4568eb,2026-01-15T13:32:45.118Z,2026-01-15T13:32:45.118Z,"{""objectType"":""Agent"",""name"":""學生-1932CDAD4DED500C2BD6DAADC8D7E34F"",""account"":{""name"":""1932CDAD4DED500C2BD6DAADC8D7E34F"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""提交了答案"",""en-US"":""submitted answer""},""id"":""http://id.tincanapi.com/verb/submitted""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""任務 1 問題 1"",""en-US"":""Mission 1 Question 1""},""type"":""http://adlnet.gov/expapi/activities/cmi.interaction"",""interactionType"":""numeric""},""id"":""https://nccu-rb521.nccu.edu.tw/vr/quiz/mission1/q1""}","{""response"":""14"",""completion"":true}","{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/pc"":""pc"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms2_s3_ob1"":""前往獵風者號"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms1_s2_ob1"":""計算主系統氧氣消耗完畢的時間""}}"
6960b8f68c4188001ddc0dcd,1.0.0,bafae412-3e6a-4e76-a987-f3fd0ac25a2e,2026-01-09T08:14:46.333Z,2026-01-09T08:14:46.333Z,"{""objectType"":""Agent"",""name"":""學生-84A6A3F64F8D664E4B84658E857DD979"",""account"":{""name"":""84A6A3F64F8D664E4B84658E857DD979"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""提交了答案"",""en-US"":""submitted answer""},""id"":""http://id.tincanapi.com/verb/submitted""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""任務 1 問題 1"",""en-US"":""Mission 1 Question 1""},""type"":""http://adlnet.gov/expapi/activities/cmi.interaction"",""interactionType"":""numeric""},""id"":""https://nccu-rb521.nccu.edu.tw/vr/quiz/mission1/q1""}","{""response"":""12"",""completion"":true}","{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/pc"":""pc"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms2_s3_ob1"":""前往獵風者號"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms1_s2_ob1"":""計算主系統氧氣消耗完畢的時間""}}"
6964b1c98c4188001ddc0dce,1.0.0,3f8f2e14-7b5d-4a55-9a9d-2d5b9b6a4e10,2026-01-09T08:14:46.333Z,2026-01-12T08:33:13.199Z,"{""objectType"":""Agent"",""name"":""學生-84A6A3F64F8D664E4B84658E857DD979"",""account"":{""name"":""84A6A3F64F8D664E4B84658E857DD979"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""提交了答案"",""en-US"":""submitted answer""},""id"":""http://id.tincanapi.com/verb/submitted""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""任務 1 問題 1"",""en-US"":""Mission 1 Question 1""},""type"":""http://adlnet.gov/expapi/activities/cmi.interaction"",""interactionType"":""numeric""},""id"":""https://nccu-rb521.nccu.edu.tw/vr/quiz/mission1/q1""}","{""response"":""12"",""completion"":true}","{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/pc"":""pc"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/class"":""三年甲班"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms2_s3_ob1"":""前往獵風者號"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms1_s2_ob1"":""計算主系統氧氣消耗完畢的時間""}}"
6960b8528c4188001ddc0dcc,1.0.0,ba8efaef-3927-427e-a93d-c5f0a438883c,2026-01-09T08:12:02.280Z,2026-01-09T08:12:02.280Z,"{""objectType"":""Agent"",""name"":""學生-23FF8A654CCD59D7C6F0D7A41BE0E192"",""account"":{""name"":""23FF8A654CCD59D7C6F0D7A41BE0E192"",""homePage"":""https://vrspace.local""}}","{""display"":{""zh-TW"":""按下控制器按鈕-F以進入"",""en-US"":""pressed controller button-F to enter""},""id"":""http://adlnet.gov/expapi/verbs/pressed/F-to-enter""}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""太空艙"",""en-US"":""Spaceship""}},""id"":""https://nccu-rb521.nccu.edu.tw/vr/activity/spaceship""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/pc"":""pc"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms2_s3_ob1"":""前往獵風者號""}}"
6960b84a8c4188001ddc0dcb,1.0.0,0e44fbec-88a2-4ea5-b05a-a339bb64c2ba,2026-01-09T08:11:54.763Z,2026-01-09T08:11:54.763Z,"{""objectType"":""Agent"",""name"":""學生-23FF8A654CCD59D7C6F0D7A41BE0E192"",""account"":{""name"":""23FF8A654CCD59D7C6F0D7A41BE0E192"",""homePage"":""https://vrspace.local""}}","{""id"":""http://adlnet.gov/expapi/verbs/enter_sections"",""display"":{""zh-TW"":""進入"",""en-US"":""Enter""}}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""節點艙2"",""en-US"":""Node2""}},""id"":""https://example.org/vr/activity/node2""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning"",""extensions"":{""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/pc"":""pc"",""https://nccu-rb521&46;nccu&46;edu&46;tw/xapi/extensions/vr-current-task/q_ms2_s2_ob1"":""進入太空艙""}}"
6960b8158c4188001ddc0dca,1.0.0,977ea010-cb74-4d33-b1f0-1de49e59d477,2026-01-09T08:11:01.753Z,2026-01-09T08:11:01.753Z,"{""objectType"":""Agent"",""name"":""學生-4BD6D05441369ECD6ECBC396F3FDA761"",""account"":{""name"":""4BD6D05441369ECD6ECBC396F3FDA761"",""homePage"":""https://vrspace.local""}}","{""id"":""http://adlnet.gov/expapi/verbs/enter_sections"",""display"":{""zh-TW"":""進入"",""en-US"":""Enter""}}","{""objectType"":""Activity"",""definition"":{""name"":{""zh-TW"":""節點艙2"",""en-US"":""Node2""}},""id"":""https://example.org/vr/activity/node2""}",,"{""objectType"":""Agent"",""name"":""New Client"",""mbox"":""mailto:hello@learninglocker.net""}","{""language"":""zh-TW"",""platform"":""VR Learning""}"
